"","CGID"
"175","cg00135841"
"176","cg00137611"
"177","cg00137629"
"178","cg00137745"
"179","cg00137846"
"180","cg00140494"
"181","cg00141295"
"182","cg00144039"
"183","cg00144832"
"184","cg00145419"
"185","cg00145596"
"186","cg00145866"
"187","cg00147332"
"188","cg00147751"
"189","cg00148558"
"190","cg00148867"
"191","cg00149805"
"192","cg00152034"
"193","cg00152644"
"194","cg00152757"
"195","cg00153942"
"196","cg00154920"
"197","cg00155844"
"198","cg00156057"
"199","cg00156684"
"200","cg00157477"
"201","cg00158227"
"202","cg00159780"
"203","cg00159873"
"204","cg00160018"
"205","cg00160462"
"206","cg00160777"
"207","cg00160853"
"208","cg00161367"
"209","cg00161450"
"210","cg00161515"
"211","cg00162191"
"212","cg00162943"
"213","cg00162952"
"214","cg00163668"
"215","cg00164217"
"216","cg00165067"
"217","cg00166770"
"218","cg00167275"
"219","cg00167783"
"220","cg00170799"
"221","cg00171192"
"222","cg00171214"
"223","cg00171578"
"224","cg00171634"
"225","cg00173170"
"226","cg00173768"
"227","cg00174201"
"228","cg00174967"
"229","cg00175423"
"230","cg00176896"
"231","cg00177611"
"232","cg00177631"
"233","cg00178224"
"234","cg00178785"
"235","cg00181676"
"236","cg00183340"
"237","cg00183546"
"238","cg00185189"
"239","cg00185829"
"240","cg00185909"
"241","cg00187768"
"242","cg00191858"
"243","cg00192750"
"244","cg00194109"
"245","cg00194341"
"246","cg00198436"
"247","cg00198680"
"248","cg00198759"
"249","cg00198994"
"250","cg00199759"
"251","cg00201534"
"252","cg00204049"
"253","cg00204355"
"254","cg00205198"
"255","cg00205340"
"256","cg00205436"
"257","cg00206271"
"258","cg00209563"
"259","cg00209831"
"260","cg00210839"
"261","cg00210991"
"262","cg00211623"
"263","cg00211855"
"264","cg00212264"
"265","cg00213044"
"266","cg00214873"
"267","cg00215922"
"268","cg00218215"
"269","cg00218628"
"270","cg00218707"
"271","cg00219774"
"272","cg00221830"
"273","cg00223899"
"274","cg00223952"
"275","cg00224234"
"276","cg00224417"
"277","cg00226085"
"278","cg00226956"
"279","cg00226961"
"280","cg00226964"
"281","cg00228355"
"282","cg00229755"
"283","cg00231099"
"284","cg00231300"
"285","cg00232675"
"286","cg00232805"
"287","cg00234467"
"288","cg00234855"
"289","cg00237026"
"290","cg00238038"
"291","cg00238958"
"292","cg00241427"
"293","cg00241482"
"294","cg00243321"
"295","cg00244034"
"296","cg00244299"
"297","cg00244920"
"298","cg00245492"
"299","cg00246693"
"300","cg00247803"
"301","cg00247892"
"302","cg00248449"
"303","cg00252057"
"304","cg00252230"
"305","cg00252529"
"306","cg00252533"
"307","cg00252696"
"308","cg00253854"
"309","cg00254524"
"310","cg00258136"
"311","cg00259043"
"312","cg00259871"
"313","cg00260028"
"314","cg00261099"
"315","cg00263314"
"316","cg00263856"
"317","cg00264298"
"318","cg00264634"
"319","cg00266579"
"320","cg00267512"
"321","cg00271807"
"322","cg00273544"
"323","cg00275090"
"324","cg00276214"
"325","cg00277098"
"326","cg00278107"
"327","cg00279557"
"328","cg00280814"
"329","cg00282267"
"330","cg00282370"
"331","cg00283030"
"332","cg00283771"
"333","cg00286160"
"334","cg00287717"
"335","cg00288652"
"336","cg00290627"
"337","cg00292851"
"338","cg00293678"
"339","cg00294152"
"340","cg00294558"
"341","cg00294814"
"342","cg00294848"
"343","cg00294852"
"344","cg00295060"
"345","cg00297334"
"346","cg00298639"
"347","cg00301256"
"348","cg00304959"
"349","cg00305320"
"350","cg00305639"
"351","cg00305878"
"352","cg00307501"
"353","cg00308434"
"354","cg00308458"
"355","cg00308697"
"356","cg00311921"
"357","cg00311963"
"358","cg00313185"
"359","cg00314015"
"360","cg00314178"
"361","cg00314276"
"362","cg00314627"
"363","cg00314966"
"364","cg00316015"
"365","cg00316520"
"366","cg00318111"
"367","cg00318897"
"368","cg00320345"
"369","cg00320845"
"370","cg00323962"
"371","cg00324257"
"372","cg00324394"
"373","cg00325910"
"374","cg00326208"
"375","cg00329180"
"376","cg00329656"
"377","cg00330318"
"378","cg00330490"
"379","cg00330857"
"380","cg00332021"
"381","cg00333364"
"382","cg00334293"
"383","cg00335297"
"384","cg00336555"
"385","cg00337070"
"386","cg00337553"
"387","cg00338377"
"388","cg00338758"
"389","cg00339739"
"390","cg00339778"
"391","cg00340584"
"392","cg00340744"
"393","cg00341415"
"394","cg00342613"
"395","cg00343349"
"396","cg00344709"
"397","cg00345366"
"398","cg00345656"
"399","cg00345916"
"400","cg00346180"
"401","cg00346320"
"402","cg00346673"
"403","cg00348692"
"404","cg00349495"
"405","cg00349700"
"406","cg00350362"
"407","cg00350607"
"408","cg00350642"
"409","cg00351054"
"410","cg00351097"
"411","cg00351202"
"412","cg00351283"
"413","cg00353337"
"414","cg00353643"
"415","cg00353916"
"416","cg00354124"
"417","cg00356769"
"418","cg00356888"
"419","cg00357543"
"420","cg00358442"
"421","cg00358570"
"422","cg00359110"
"423","cg00359421"
"424","cg00360757"
"425","cg00362401"
"426","cg00363815"
"427","cg00364644"
"428","cg00365004"
"429","cg00366531"
"430","cg00366594"
"431","cg00367497"
"432","cg00367649"
"433","cg00368844"
"434","cg00370296"
"435","cg00370815"
"436","cg00371570"
"437","cg00371950"
"438","cg00374016"
"439","cg00375999"
"440","cg00378007"
"441","cg00378142"
"442","cg00379272"
"443","cg00379337"
"444","cg00380428"
"445","cg00380846"
"446","cg00381054"
"447","cg00381604"
"448","cg00383190"
"449","cg00388637"
"450","cg00388732"
"451","cg00388905"
"452","cg00389785"
"453","cg00390191"
"454","cg00391025"
"455","cg00391352"
"456","cg00391884"
"457","cg00394725"
"458","cg00395140"
"459","cg00396991"
"460","cg00397059"
"461","cg00397113"
"462","cg00397545"
"463","cg00398265"
"464","cg00399107"
"465","cg00399683"
"466","cg00400085"
"467","cg00400654"
"468","cg00400827"
"469","cg00401234"
"470","cg00401678"
"471","cg00401773"
"472","cg00401844"
"473","cg00402069"
"474","cg00402551"
"475","cg00402737"
"476","cg00403874"
"477","cg00405494"
"478","cg00405596"
"479","cg00405769"
"480","cg00406621"
"481","cg00406844"
"482","cg00407452"
"483","cg00408021"
"484","cg00409201"
"485","cg00410323"
"486","cg00412067"
"487","cg00413370"
"488","cg00413849"
"489","cg00413870"
"490","cg00414689"
"491","cg00414890"
"492","cg00415702"
"493","cg00415822"
"494","cg00417710"
"495","cg00417719"
"496","cg00417819"
"497","cg00418479"
"498","cg00419314"
"499","cg00419509"
"500","cg00419822"
"501","cg00420847"
"502","cg00422995"
"503","cg00423014"
"504","cg00423291"
"505","cg00423700"
"506","cg00424740"
"507","cg00427669"
"508","cg00428214"
"509","cg00428487"
"510","cg00429618"
"511","cg00431924"
"512","cg00434295"
"513","cg00437102"
"514","cg00437173"
"515","cg00437192"
"516","cg00440263"
"517","cg00440702"
"518","cg00441703"
"519","cg00441754"
"520","cg00442458"
"521","cg00444151"
"522","cg00446413"
"523","cg00447068"
"524","cg00447557"
"525","cg00448143"
"526","cg00448235"
"527","cg00448891"
"528","cg00450960"
"529","cg00451807"
"530","cg00454650"
"531","cg00454696"
"532","cg00454993"
"533","cg00455018"
"534","cg00455164"
"535","cg00455514"
"536","cg00455883"
"537","cg00455892"
"538","cg00456637"
"539","cg00457495"
"540","cg00457596"
"541","cg00458156"
"542","cg00459243"
"543","cg00459447"
"544","cg00459550"
"545","cg00459845"
"546","cg00460690"
"547","cg00460763"
"548","cg00461506"
"549","cg00462104"
"550","cg00462488"
"551","cg00463949"
"552","cg00467160"
"553","cg00468410"
"554","cg00469630"
"555","cg00470565"
"556","cg00470882"
"557","cg00470972"
"558","cg00471110"
"559","cg00471810"
"560","cg00472454"
"561","cg00472640"
"562","cg00473025"
"563","cg00473179"
"564","cg00473702"
"565","cg00474039"
"566","cg00475112"
"567","cg00475182"
"568","cg00476432"
"569","cg00476896"
"570","cg00477538"
"571","cg00477557"
"572","cg00477817"
"573","cg00479718"
"574","cg00479885"
"575","cg00480643"
"576","cg00481415"
"577","cg00483718"
"578","cg00485391"
"579","cg00487226"
"580","cg00487526"
"581","cg00488283"
"582","cg00489902"
"583","cg00490097"
"584","cg00490606"
"585","cg00492092"
"586","cg00492784"
"587","cg00492794"
"588","cg00493300"
"589","cg00495570"
"590","cg00496389"
"591","cg00496791"
"592","cg00496805"
"593","cg00498419"
"594","cg00498438"
"595","cg00499509"
"596","cg00500229"
"597","cg00501886"
"598","cg00502035"
"599","cg00502041"
"600","cg00504088"
"601","cg00504248"
"602","cg00504896"
"603","cg00506056"
"604","cg00506859"
"605","cg00508604"
"606","cg00509108"
"607","cg00512425"
"608","cg00512622"
"609","cg00512709"
"610","cg00513220"
"611","cg00514202"
"612","cg00514284"
"613","cg00514514"
"614","cg00514746"
"615","cg00514971"
"616","cg00517407"
"617","cg00517535"
"618","cg00518152"
"619","cg00518770"
"620","cg00520188"
"621","cg00522288"
"622","cg00522328"
"623","cg00523240"
"624","cg00523901"
"625","cg00524577"
"626","cg00524978"
"627","cg00525044"
"628","cg00525833"
"629","cg00526576"
"630","cg00528040"
"631","cg00531054"
"632","cg00531965"
"633","cg00532477"
"634","cg00532659"
"635","cg00532667"
"636","cg00533934"
"637","cg00533990"
"638","cg00534858"
"639","cg00535994"
"640","cg00537607"
"641","cg00538495"
"642","cg00539325"
"643","cg00541002"
"644","cg00541156"
"645","cg00541500"
"646","cg00542384"
"647","cg00543456"
"648","cg00544070"
"649","cg00546078"
"650","cg00547312"
"651","cg00547318"
"652","cg00547444"
"653","cg00547839"
"654","cg00550040"
"655","cg00551244"
"656","cg00551387"
"657","cg00551589"
"658","cg00551654"
"659","cg00552973"
"660","cg00554192"
"661","cg00554640"
"662","cg00555036"
"663","cg00555695"
"664","cg00556570"
"665","cg00556614"
"666","cg00558297"
"667","cg00561736"
"668","cg00562898"
"669","cg00563768"
"670","cg00564862"
"671","cg00566515"
"672","cg00570207"
"673","cg00572146"
"674","cg00572487"
"675","cg00572756"
"676","cg00573140"
"677","cg00573410"
"678","cg00573963"
"679","cg00574114"
"680","cg00574513"
"681","cg00574919"
"682","cg00575135"
"683","cg00576139"
"684","cg00578775"
"685","cg00579921"
"686","cg00580354"
"687","cg00583618"
"688","cg00584456"
"689","cg00584549"
"690","cg00586014"
"691","cg00586248"
"692","cg00587180"
"693","cg00587228"
"694","cg00587465"
"695","cg00588853"
"696","cg00589791"
"697","cg00591225"
"698","cg00591228"
"699","cg00592460"
"700","cg00592870"
"701","cg00592944"
"702","cg00593414"
"703","cg00593446"
"704","cg00594016"
"705","cg00594488"
"706","cg00595610"
"707","cg00596207"
"708","cg00597112"
"709","cg00597602"
"710","cg00598125"
"711","cg00599377"
"712","cg00599809"
"713","cg00600362"
"714","cg00601819"
"715","cg00603487"
"716","cg00604188"
"717","cg00604382"
"718","cg00604771"
"719","cg00605545"
"720","cg00605988"
"721","cg00606739"
"722","cg00609291"
"723","cg00609645"
"724","cg00610583"
"725","cg00611372"
"726","cg00611901"
"727","cg00612714"
"728","cg00613562"
"729","cg00614280"
"730","cg00614314"
"731","cg00615794"
"732","cg00617867"
"733","cg00618596"
"734","cg00619292"
"735","cg00619915"
"736","cg00620304"
"737","cg00620824"
"738","cg00620857"
"739","cg00621559"
"740","cg00621666"
"741","cg00622133"
"742","cg00624440"
"743","cg00624879"
"744","cg00625161"
"745","cg00625450"
"746","cg00626068"
"747","cg00629088"
"748","cg00629514"
"749","cg00629928"
"750","cg00631203"
"751","cg00631287"
"752","cg00634606"
"753","cg00634984"
"754","cg00636172"
"755","cg00636416"
"756","cg00637047"
"757","cg00637795"
"758","cg00639579"
"759","cg00640147"
"760","cg00640609"
"761","cg00640775"
"762","cg00641177"
"763","cg00642330"
"764","cg00644797"
"765","cg00644922"
"766","cg00645010"
"767","cg00645731"
"768","cg00646019"
"769","cg00646244"
"770","cg00647004"
"771","cg00648005"
"772","cg00648125"
"773","cg00649199"
"774","cg00649216"
"775","cg00651446"
"776","cg00652158"
"777","cg00653565"
"778","cg00654159"
"779","cg00655656"
"780","cg00656264"
"781","cg00656826"
"782","cg00656931"
"783","cg00657202"
"784","cg00661438"
"785","cg00662258"
"786","cg00664021"
"787","cg00664666"
"788","cg00664920"
"789","cg00665029"
"790","cg00665343"
"791","cg00665832"
"792","cg00666623"
"793","cg00666640"
"794","cg00666641"
"795","cg00667110"
"796","cg00667898"
"797","cg00668426"
"798","cg00668927"
"799","cg00669212"
"800","cg00669746"
"801","cg00673008"
"802","cg00673081"
"803","cg00673109"
"804","cg00676394"
"805","cg00677180"
"806","cg00677195"
"807","cg00677708"
"808","cg00677901"
"809","cg00678322"
"810","cg00680808"
"811","cg00681566"
"812","cg00686169"
"813","cg00687812"
"814","cg00688323"
"815","cg00688460"
"816","cg00688734"
"817","cg00688850"
"818","cg00689214"
"819","cg00689360"
"820","cg00690710"
"821","cg00690903"
"822","cg00691830"
"823","cg00692100"
"824","cg00692484"
"825","cg00693837"
"826","cg00695633"
"827","cg00697413"
"828","cg00698646"
"829","cg00698982"
"830","cg00699238"
"831","cg00699831"
"832","cg00700466"
"833","cg00702369"
"834","cg00702489"
"835","cg00702835"
"836","cg00702837"
"837","cg00702877"
"838","cg00703849"
"839","cg00704176"
"840","cg00705156"
"841","cg00705255"
"842","cg00706683"
"843","cg00710209"
"844","cg00710269"
"845","cg00710456"
"846","cg00711386"
"847","cg00711542"
"848","cg00712711"
"849","cg00713055"
"850","cg00713204"
"851","cg00713813"
"852","cg00715913"
"853","cg00716025"
"854","cg00717180"
"855","cg00718539"
"856","cg00718581"
"857","cg00720119"
"858","cg00721080"
"859","cg00721703"
"860","cg00721947"
"861","cg00723379"
"862","cg00725145"
"863","cg00725426"
"864","cg00725654"
"865","cg00725722"
"866","cg00727386"
"867","cg00727556"
"868","cg00727940"
"869","cg00728300"
"870","cg00730100"
"871","cg00731201"
"872","cg00731874"
"873","cg00732098"
"874","cg00732232"
"875","cg00733315"
"876","cg00733705"
"877","cg00734311"
"878","cg00734979"
"879","cg00735023"
"880","cg00736530"
"881","cg00736819"
"882","cg00737250"
"883","cg00738113"
"884","cg00738299"
"885","cg00738849"
"886","cg00738945"
"887","cg00741351"
"888","cg00742898"
"889","cg00744187"
"890","cg00744351"
"891","cg00744920"
"892","cg00745184"
"893","cg00745463"
"894","cg00745606"
"895","cg00747739"
"896","cg00748958"
"897","cg00750806"
"898","cg00751857"
"899","cg00752047"
"900","cg00752077"
"901","cg00753692"
"902","cg00755130"
"903","cg00755505"
"904","cg00755729"
"905","cg00756362"
"906","cg00756448"
"907","cg00756450"
"908","cg00756860"
"909","cg00758816"
"910","cg00760290"
"911","cg00760490"
"912","cg00760536"
"913","cg00760812"
"914","cg00762450"
"915","cg00763136"
"916","cg00763244"
"917","cg00764514"
"918","cg00766985"
"919","cg00767637"
"920","cg00767679"
"921","cg00768815"
"922","cg00769240"
"923","cg00769810"
"924","cg00769882"
"925","cg00770134"
"926","cg00771483"
"927","cg00772775"
"928","cg00772962"
"929","cg00773093"
"930","cg00774458"
"931","cg00774769"
"932","cg00775388"
"933","cg00775777"
"934","cg00775781"
"935","cg00776237"
"936","cg00776252"
"937","cg00779304"
"938","cg00784791"
"939","cg00786256"
"940","cg00786390"
"941","cg00786635"
"942","cg00788028"
"943","cg00788688"
"944","cg00789394"
"945","cg00789423"
"946","cg00789540"
"947","cg00790649"
"948","cg00791422"
"949","cg00793285"
"950","cg00793992"
"951","cg00794178"
"952","cg00794209"
"953","cg00795247"
"954","cg00795885"
"955","cg00799387"
"956","cg00800759"
"957","cg00800997"
"958","cg00801577"
"959","cg00802168"
"960","cg00803004"
"961","cg00803478"
"962","cg00803910"
"963","cg00804237"
"964","cg00804338"
"965","cg00804745"
"966","cg00805496"
"967","cg00805874"
"968","cg00806126"
"969","cg00806959"
"970","cg00807342"
"971","cg00807495"
"972","cg00808053"
"973","cg00808352"
"974","cg00809453"
"975","cg00812839"
"976","cg00813765"
"977","cg00814476"
"978","cg00816224"
"979","cg00817749"
"980","cg00818198"
"981","cg00819949"
"982","cg00821510"
"983","cg00822353"
"984","cg00822571"
"985","cg00824547"
"986","cg00824714"
"987","cg00825031"
"988","cg00825131"
"989","cg00825503"
"990","cg00825705"
"991","cg00826626"
"992","cg00827196"
"993","cg00827596"
"994","cg00828059"
"995","cg00828468"
"996","cg00829645"
"997","cg00831633"
"998","cg00831698"
"999","cg00831770"
"1000","cg00832199"
"1001","cg00832547"
"1002","cg00833344"
"1003","cg00833479"
"1004","cg00833552"
"1005","cg00833822"
"1006","cg00834234"
"1007","cg00834590"
"1008","cg00835232"
"1009","cg00835389"
"1010","cg00835526"
"1011","cg00835832"
"1012","cg00836097"
"1013","cg00837548"
"1014","cg00841141"
"1015","cg00841768"
"1016","cg00842794"
"1017","cg00842874"
"1018","cg00844277"
"1019","cg00844600"
"1020","cg00845901"
"1021","cg00846218"
"1022","cg00846300"
"1023","cg00847250"
"1024","cg00847301"
"1025","cg00847544"
"1026","cg00847826"
"1027","cg00849862"
"1028","cg00850683"
"1029","cg00850868"
"1030","cg00852317"
"1031","cg00853237"
"1032","cg00853242"
"1033","cg00853671"
"1034","cg00854043"
"1035","cg00854560"
"1036","cg00855014"
"1037","cg00855461"
"1038","cg00856850"
"1039","cg00857419"
"1040","cg00858196"
"1041","cg00858760"
"1042","cg00860380"
"1043","cg00861214"
"1044","cg00862041"
"1045","cg00862117"
"1046","cg00862675"
"1047","cg00863099"
"1048","cg00863654"
"1049","cg00863986"
"1050","cg00864400"
"1051","cg00864563"
"1052","cg00865118"
"1053","cg00865653"
"1054","cg00867694"
"1055","cg00869530"
"1056","cg00869962"
"1057","cg00871578"
"1058","cg00872900"
"1059","cg00873974"
"1060","cg00875852"
"1061","cg00876142"
"1062","cg00876196"
"1063","cg00880918"
"1064","cg00882175"
"1065","cg00883210"
"1066","cg00884068"
"1067","cg00884081"
"1068","cg00884170"
"1069","cg00884445"
"1070","cg00885005"
"1071","cg00886432"
"1072","cg00887602"
"1073","cg00889287"
"1074","cg00889778"
"1075","cg00890874"
"1076","cg00892060"
"1077","cg00893045"
"1078","cg00894142"
"1079","cg00895354"
"1080","cg00896220"
"1081","cg00897863"
"1082","cg00898157"
"1083","cg00902636"
"1084","cg00902674"
"1085","cg00903245"
"1086","cg00903375"
"1087","cg00903950"
"1088","cg00905420"
"1089","cg00906169"
"1090","cg00906794"
"1091","cg00906838"
"1092","cg00907473"
"1093","cg00908381"
"1094","cg00910103"
"1095","cg00910676"
"1096","cg00910715"
"1097","cg00910893"
"1098","cg00911351"
"1099","cg00913521"
"1100","cg00913945"
"1101","cg00914354"
"1102","cg00914659"
"1103","cg00916680"
"1104","cg00916831"
"1105","cg00917101"
"1106","cg00917362"
"1107","cg00917603"
"1108","cg00918005"
"1109","cg00919576"
"1110","cg00920691"
"1111","cg00920789"
"1112","cg00920799"
"1113","cg00920990"
"1114","cg00923458"
"1115","cg00923803"
"1116","cg00924144"
"1117","cg00927939"
"1118","cg00928002"
"1119","cg00930306"
"1120","cg00931375"
"1121","cg00931491"
"1122","cg00932413"
"1123","cg00936904"
"1124","cg00939495"
"1125","cg00941203"
"1126","cg00941419"
"1127","cg00941588"
"1128","cg00941912"
"1129","cg00942997"
"1130","cg00943060"
"1131","cg00943360"
"1132","cg00945107"
"1133","cg00946921"
"1134","cg00947801"
"1135","cg00948906"
"1136","cg00949249"
"1137","cg00949554"
"1138","cg00952292"
"1139","cg00953233"
"1140","cg00954931"
"1141","cg00955035"
"1142","cg00955780"
"1143","cg00956244"
"1144","cg00957686"
"1145","cg00958273"
"1146","cg00959334"
"1147","cg00960209"
"1148","cg00960580"
"1149","cg00960790"
"1150","cg00961139"
"1151","cg00961446"
"1152","cg00961450"
"1153","cg00962466"
"1154","cg00962799"
"1155","cg00963079"
"1156","cg00963850"
"1157","cg00963942"
"1158","cg00964321"
"1159","cg00964484"
"1160","cg00965971"
"1161","cg00965991"
"1162","cg00966920"
"1163","cg00966930"
"1164","cg00969731"
"1165","cg00969815"
"1166","cg00970279"
"1167","cg00970558"
"1168","cg00970737"
"1169","cg00970926"
"1170","cg00974107"
"1171","cg00974523"
"1172","cg00975163"
"1173","cg00975375"
"1174","cg00975587"
"1175","cg00975746"
"1176","cg00977301"
"1177","cg00977827"
"1178","cg00978912"
"1179","cg00978946"
"1180","cg00979288"
"1181","cg00980674"
"1182","cg00981552"
"1183","cg00982214"
"1184","cg00982683"
"1185","cg00982805"
"1186","cg00982936"
"1187","cg00984715"
"1188","cg00984967"
"1189","cg00986824"
"1190","cg00991447"
"1191","cg00991496"
"1192","cg00991546"
"1193","cg00991958"
"1194","cg00992264"
"1195","cg00992521"
"1196","cg00992711"
"1197","cg00993952"
"1198","cg00994389"
"1199","cg00994491"
"1200","cg00994644"
"1201","cg00994941"
"1202","cg00995085"
"1203","cg00995689"
"1204","cg00995804"
"1205","cg00997174"
"1206","cg00997234"
"1207","cg00997262"
"1208","cg00997801"
"1209","cg00997875"
"1210","cg00999638"
"1211","cg00999858"
"1212","cg01000036"
"1213","cg01000657"
"1214","cg01002288"
"1215","cg01003176"
"1216","cg01003813"
"1217","cg01005425"
"1218","cg01005630"
"1219","cg01006124"
"1220","cg01007147"
"1221","cg01007262"
"1222","cg01007350"
"1223","cg01008097"
"1224","cg01008310"
"1225","cg01008361"
"1226","cg01009486"
"1227","cg01010221"
"1228","cg01010988"
"1229","cg01011482"
"1230","cg01011707"
"1231","cg01011943"
"1232","cg01012559"
"1233","cg01013595"
"1234","cg01013685"
"1235","cg01014087"
"1236","cg01015359"
"1237","cg01016850"
"1238","cg01017235"
"1239","cg01017464"
"1240","cg01018117"
"1241","cg01018606"
"1242","cg01018782"
"1243","cg01019344"
"1244","cg01023169"
"1245","cg01023403"
"1246","cg01023693"
"1247","cg01024175"
"1248","cg01024783"
"1249","cg01026613"
"1250","cg01028844"
"1251","cg01029331"
"1252","cg01029934"
"1253","cg01030201"
"1254","cg01031907"
"1255","cg01033822"
"1256","cg01034363"
"1257","cg01035072"
"1258","cg01035170"
"1259","cg01035190"
"1260","cg01035563"
"1261","cg01035640"
"1262","cg01035826"
"1263","cg01036828"
"1264","cg01038172"
"1265","cg01038940"
"1266","cg01041681"
"1267","cg01042278"
"1268","cg01042640"
"1269","cg01042877"
"1270","cg01043849"
"1271","cg01046377"
"1272","cg01046833"
"1273","cg01046961"
"1274","cg01047040"
"1275","cg01049316"
"1276","cg01049933"
"1277","cg01050005"
"1278","cg01050740"
"1279","cg01050935"
"1280","cg01052200"
"1281","cg01052294"
"1282","cg01052572"
"1283","cg01052838"
"1284","cg01052864"
"1285","cg01053349"
"1286","cg01055129"
"1287","cg01058711"
"1288","cg01059331"
"1289","cg01060089"
"1290","cg01060387"
"1291","cg01061164"
"1292","cg01061626"
"1293","cg01063088"
"1294","cg01065156"
"1295","cg01065748"
"1296","cg01067139"
"1297","cg01068023"
"1298","cg01069210"
"1299","cg01070223"
"1300","cg01070250"
"1301","cg01070781"
"1302","cg01071112"
"1303","cg01072529"
"1304","cg01074622"
"1305","cg01076254"
"1306","cg01076454"
"1307","cg01077024"
"1308","cg01077616"
"1309","cg01077623"
"1310","cg01079019"
"1311","cg01079307"
"1312","cg01079950"
"1313","cg01080483"
"1314","cg01082910"
"1315","cg01083469"
"1316","cg01084918"
"1317","cg01085129"
"1318","cg01085765"
"1319","cg01085974"
"1320","cg01087991"
"1321","cg01088239"
"1322","cg01088455"
"1323","cg01088726"
"1324","cg01088863"
"1325","cg01088952"
"1326","cg01089751"
"1327","cg01092531"
"1328","cg01093800"
"1329","cg01094121"
"1330","cg01094213"
"1331","cg01097011"
"1332","cg01097196"
"1333","cg01097725"
"1334","cg01098234"
"1335","cg01098431"
"1336","cg01099299"
"1337","cg01099902"
"1338","cg01101177"
"1339","cg01104119"
"1340","cg01105140"
"1341","cg01105557"
"1342","cg01105802"
"1343","cg01109633"
"1344","cg01110103"
"1345","cg01113832"
"1346","cg01114156"
"1347","cg01115099"
"1348","cg01116134"
"1349","cg01119453"
"1350","cg01120527"
"1351","cg01121060"
"1352","cg01121978"
"1353","cg01122057"
"1354","cg01122415"
"1355","cg01124810"
"1356","cg01125329"
"1357","cg01125563"
"1358","cg01128295"
"1359","cg01129155"
"1360","cg01130322"
"1361","cg01130658"
"1362","cg01131625"
